taxonomy,name,latitude,longitude,points,cityId,meta,isActive
ATTRACTION,Botanical Garden of the University of Tübingen,48.5173,9.0516,30,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Botanische Garten der Universität Tübingen bietet eine vielfältige Pflanzenwelt und ist ein Ort der Forschung und Bildung."", ""en"": ""The Botanical Garden of the University of Tübingen offers a diverse plant collection and is a place of research and education.""}}",TRUE
ATTRACTION,Tübingen Castle Museum,48.5215,9.0502,35,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Museum im Schloss Hohentübingen zeigt archäologische und kunsthistorische Sammlungen."", ""en"": ""The museum at Hohentübingen Castle displays archaeological and art historical collections.""}}",TRUE
ATTRACTION,Tübingen Old Botanical Garden,48.518,9.055,28,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Alte Botanische Garten Tübingen ist ein historischer Garten, der eine Vielzahl von Pflanzen beheimatet."", ""en"": ""The Old Botanical Garden in Tübingen is a historical garden home to a variety of plants.""}}",TRUE
ATTRACTION,Market Square (Marktplatz),48.519,9.0605,40,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Marktplatz in Tübingen ist bekannt für seine historischen Fachwerkhäuser und den Wochenmarkt."", ""en"": ""The Market Square in Tübingen is known for its historic half-timbered houses and the weekly market.""}}",TRUE
ATTRACTION,Hölderlinturm (Holderlin Tower),48.521,9.0457,32,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Der Hölderlinturm ist ein berühmtes Wahrzeichen von Tübingen und ehemaliges Wohnhaus des Dichters Friedrich Hölderlin."", ""en"": ""The Hölderlinturm is a famous landmark in Tübingen and the former residence of poet Friedrich Hölderlin.""}}",TRUE
ATTRACTION,Tübingen City Museum,48.5203,9.0482,33,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Das Stadtmuseum Tübingen bietet Einblicke in die Geschichte und Kultur der Stadt."", ""en"": ""The Stadtmuseum Tübingen provides insights into the city's history and culture.""}}",TRUE
ATTRACTION,Museum of Ancient Cultures,48.5220,9.0508,36,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Archäologische Funde, antike Kulturen und klassische Archäologie."", ""en"": ""Archaeological finds, ancient cultures, and classical archaeology.""}}",TRUE
ATTRACTION,Kunsthalle Tübingen,48.5211,9.0459,32,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Leben und Werke des Dichters Friedrich Hölderlin."", ""en"": ""Life and works of the poet Friedrich Hölderlin.""}}",TRUE
ATTRACTION,Boxenstop Museum,48.5.205,9.0602,34,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Moderne und zeitgenössische Kunstausstellungen."", ""en"": ""Modern and contemporary art exhibitions.""}}",TRUE
ATTRACTION,Old Aula,48.5218,9.0535,38,clyxbvyuf0000tilmjxuheabw,"{""description"": {""de"": ""Klassische Autos, Motorräder und eine große Sammlung von Spielzeugen aus verschiedenen Epochen."", ""en"": ""Classic cars, motorcycles, and a large collection of toys from different eras.""}}",TRUE
